ID,U_Full,V_Full,J_Full,U_Decomposed,V_Decomposed,J_Decomposed,zpk
UDS_6990,-102.56568876055299,-102.89630546845645,-102.96991780395322,-102.56568876055299,-102.89630546845645,-102.96991780395322,1.6053
UDS_6994,-103.78068881742449,-104.27614189606565,-104.73491329386219,-103.07573850936562,-103.585622473798,-103.81137605917247,2.0204
UDS_6999,-104.54442225293894,-105.1458076183301,-105.64066551101573,-104.01168071013646,-104.6837726773191,-105.07127051303459,2.1591
UDS_7001,-103.78806356888967,-104.86410578548143,-105.75219554364467,-103.78791075759351,-104.86398629197865,-105.75171295531554,0.9886
UDS_7007,-102.84723757179152,-103.3571215362239,-103.58287512159836,-102.84723757179152,-103.3571215362239,-103.58287512159836,2.0709
UDS_7012,-102.9891666581972,-103.49905062262957,-103.72480420800406,-102.9891666581972,-103.49905062262957,-103.72480420800406,0.6345
UDS_7022,-104.57576220990633,-105.38662386544544,-105.93905385264031,-104.418950853788,-105.2941985241489,-105.85133176132139,1.5344
UDS_7031,-102.03081127477047,-103.86564868208384,-104.95164833800519,-102.03068900522166,-103.86560115066465,-104.95148838249168,0.6128
UDS_7032,-104.05326697461716,-105.12846056096458,-106.09757552619497,-103.67219991059352,-104.81871224646349,-105.75432799427807,2.1614
UDS_7033,-102.72608123737656,-103.07287148965418,-103.15642405691612,-102.72608123737656,-103.07287148965418,-103.15642405691612,1.0876
UDS_7045,-100.50420020557476,-101.51302443596597,-102.13283851317662,-100.50413048467269,-101.51296643391584,-102.13253862323471,0.5588
UDS_7056,-102.59891355645563,-103.01300968694535,-103.12110615504139,-102.59891355645563,-103.01300968694535,-103.12110615504139,1.7033
UDS_7057,-99.1560050213959,-100.06917923337471,-100.57727742663317,-99.1560050213959,-100.06917923337471,-100.57727742663317,0.3838
UDS_7063,-99.4489423238993,-100.82929648120064,-101.6931348111725,-99.4489423238993,-100.82929648120064,-101.6931348111725,0.574
UDS_7070,-102.78461692117092,-104.65904593966607,-105.79230663038693,-102.78440863462609,-104.65896787114579,-105.79205509321437,0.7131
UDS_7071,-102.89812426349042,-103.4790091359682,-103.75503444143018,-102.89812426349042,-103.4790091359682,-103.75503444143018,1.0886
UDS_7075,-101.30423336206098,-102.0058238434666,-102.4817481212788,-100.84465459951963,-101.75782881149843,-102.26592700475689,1.0861
UDS_7081,-103.11739489589924,-103.62727886033161,-103.85303244570609,-103.11739489589924,-103.62727886033161,-103.85303244570609,1.6303
UDS_7088,-102.09760797179865,-103.10813844289407,-103.76100248541844,-102.0974393569361,-103.10627530617927,-103.72584749549813,0.566
UDS_7089,-99.29104304620958,-100.96045882002328,-102.02272427035231,-99.07744809781157,-100.91236024325455,-101.9982474750816,0.5429
UDS_7094,-104.15571567445356,-105.52612541696317,-106.86532454222005,-104.12760821560175,-105.50825182447198,-106.85146941990803,1.0398
UDS_7106,-103.65337730542791,-104.12842058818794,-104.36385164862489,-103.6373330785396,-104.0943286926653,-104.25490701066892,2.71
UDS_7123,-103.21654563271379,-103.86248434439662,-104.18652803555986,-103.21654563271379,-103.86248434439662,-104.18652803555986,0.5659
UDS_7127,-103.5929708326659,-103.63101116862933,-103.64758284811313,-103.58240522608013,-103.61948693814165,-103.632022642517,3.4923
UDS_7129,-103.21929299983198,-103.82496048784563,-104.1193465418553,-103.21929299983198,-103.82496048784563,-104.1193465418553,1.4773
UDS_7133,-102.92976343699738,-103.39449776428634,-103.58795945450692,-102.92294541242833,-103.37994102655404,-103.54051934455767,2.7794
UDS_7135,-103.43204678388012,-104.02775234370654,-104.65039779685162,-102.98588837704372,-103.7750293814361,-104.4716871847863,3.6522
UDS_7139,-101.6815540106719,-102.32929493833397,-102.74616721228008,-101.50421301553301,-102.20648739063647,-102.6159365098639,1.0422
UDS_7144,-100.34398393590492,-101.35281988514808,-101.97239207446694,-100.34398393590492,-101.35281988514808,-101.97239207446694,0.6922
UDS_7146,-103.1289286140052,-103.2359448387783,-103.55343387237632,-99.8344772202409,-100.49232299373327,-101.15030953418405,2.665
UDS_7152,-102.91885786229611,-103.41370773538216,-103.88127007343415,-102.17190396001507,-102.68178792444745,-102.90754150982193,2.9081
UDS_7153,-101.63682063095506,-102.28275934263789,-102.60680303380113,-101.63682063095506,-102.28275934263789,-102.60680303380113,0.6386
UDS_7159,-102.85480126277562,-103.31253792348389,-103.47607302491275,-102.85326163144916,-103.31025724557486,-103.47083556357848,1.5258
UDS_7165,-102.19988590158081,-103.20872185082396,-103.82829404014282,-102.19988590158081,-103.20872185082396,-103.82829404014282,0.9101
UDS_7171,-103.50547750631442,-104.53267739243252,-105.66817419423828,-102.98386529357714,-103.8154768839124,-104.52297316885209,1.7546
UDS_7172,-103.05717059414185,-103.51862273403655,-104.07652270870399,-101.98133413316641,-102.89203281344746,-103.62513922281863,2.7023
UDS_7175,-101.08035678105037,-101.72629549273319,-102.05033918389644,-101.08035678105037,-101.72629549273319,-102.05033918389644,0.4486
UDS_7177,-101.26895181882466,-102.01145580131487,-102.45001652915583,-101.26895181882466,-102.01145580131487,-102.45001652915583,0.6654
UDS_7179,-100.81832567929483,-102.19867983659617,-103.062518166568,-100.81832567929483,-102.19867983659617,-103.062518166568,0.6328
UDS_7181,-102.74486729643849,-103.25339947791142,-103.50308760653508,-102.69486863826864,-103.20475260270102,-103.4305061880755,1.4651
UDS_7190,-101.01070239866304,-101.65664111034589,-101.98068480150914,-101.01070239866304,-101.65664111034589,-101.98068480150914,0.2718
UDS_7213,-100.50910912365588,-101.24762232691701,-101.68484073320558,-100.50910912365588,-101.24762232691701,-101.68484073320558,0.6472
UDS_7216,-102.53404279322616,-103.0631646143215,-103.36261557059524,-102.48580451049185,-102.99568847492422,-103.22144206029868,1.7629
UDS_7217,-103.54418772026236,-104.23035948277872,-104.62810369968531,-103.54418772026236,-104.23035948277872,-104.62810369968531,1.4955
UDS_7232,-101.33751057822954,-101.97719419760267,-102.61873794409945,-100.9564267526363,-101.75451794607555,-102.45430852634331,0.998
UDS_7234,-103.14117199752845,-103.88367598001865,-104.32223670785964,-103.14117199752845,-103.88367598001865,-104.32223670785964,0.613
UDS_7235,-104.08905387553132,-104.51555732997299,-104.70859474700403,-104.08905387553132,-104.51555732997299,-104.70859474700403,2.3064
UDS_7248,-103.71787967355931,-105.19649925032526,-106.19413842693362,-103.71125406055839,-105.18498677592247,-106.15697013375728,0.5749
UDS_7257,-101.2854095504211,-102.29424549966426,-102.91381768898312,-101.2854095504211,-102.29424549966426,-102.91381768898312,0.5742
UDS_7262,-104.33448126791035,-105.4105568022955,-106.29828346563238,-104.33448126791035,-105.4105568022955,-106.29828346563238,0.8714
UDS_7264,-103.03829365513877,-103.47377580571653,-104.01800666465816,-101.87416195297956,-102.78486063326059,-103.51796704263177,3.044
UDS_7266,-102.44588185179143,-103.45471780103459,-104.07428999035346,-102.44588185179143,-103.45471780103459,-104.07428999035346,1.343
UDS_7267,-103.47351477222851,-103.54334595710796,-103.82338083653629,-98.3944556004405,-98.43153731250206,-98.4440730168774,3.2199
UDS_7272,-101.85024879605447,-102.58876199931561,-103.02598040560417,-101.85024879605447,-102.58876199931561,-103.02598040560417,0.6082
